#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu15,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus CAMPATH-1 antigen (LOC116886784), transcript variant X1, mRNA",XM_032888232.1,6.18E-16,100,10117
Zotu16,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.56E-83,87.9,0
Zotu17,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone MF5e12 18S ribosomal RNA gene, partial sequence",HQ230082.1,1.61E-114,100,100272
Zotu18,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida    ,Rhynchomonadidae,Rhynchomonas,Rhynchomonas nasuta,"Rhynchomonas nasuta strain HFCC319 18S ribosomal RNA gene, partial sequence",DQ207598.1,3.94E-121,98.062,127150
Zotu19,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone UEBER_H1 18S ribosomal RNA gene, partial sequence",JN630454.1,1.68E-109,97.89,204529
Zotu20,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain HFCC95 18S ribosomal RNA gene, partial sequence",DQ207580.1,4.69E-105,96.61,312471
Zotu21,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus strain Brown Norway clone RP31-314L24, complete sequence",AC087042.2,1.2E-106,93.066,10116
Zotu22,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. voucher LNP36 small subunit ribosomal RNA gene, partial sequence",MT898518.1,1.99E-144,99.65,5696
Zotu23,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.06E-79,87.234,0
Zotu24,,,,,,,,,,,,
Zotu25,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB09 18S ribosomal RNA gene, partial sequence",KJ867128.1,7.25E-149,100,87096
Zotu26,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania infantum,"Leishmania infantum isolate CBT 276 small subunit ribosomal RNA gene, partial sequence",MN757921.1,1.58E-150,100,5671
Zotu27,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L8.10 18S ribosomal RNA gene, partial sequence",AY753951.1,8.72E-73,100,100272
Zotu28,,,,,,,,"Uncultured marine eukaryote clone AB_+67_KIN 18S ribosomal RNA gene, partial sequence",GU218703.1,1.14E-76,87.843,0
Zotu29,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 9 BAC CH230-7F11 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC108527.6,1.36E-111,90.939,10116
Zotu30,,,,,,,,,,,,
Zotu31,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.52E-109,100,351716
Zotu32,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 1",AB996690.1,6.59E-109,95.312,204529
Zotu33,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,3.03E-102,94.094,266813
Zotu34,,,,,,,,,,,,
Zotu35,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone FW10.1 18S ribosomal RNA gene, partial sequence",AY749571.1,3.79E-81,90.456,100272
Zotu36,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Lotmaria    ,Lotmaria passim,"Lotmaria passim isolate Uruguay 10 18S ribosomal RNA gene, partial sequence",KX953204.1,7.45E-154,100,1620387
Zotu37,,,,,,,,,,,,
Zotu38,,,,,,,,,,,,
Zotu39,,,,,,,,,,,,
Zotu40,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AQ.22 partial 18S rRNA gene, isolate TL.AQ.22",AJ620574.1,2.22E-159,98.762,260183
Zotu41,,,,,,,,"Rhynchobodo sp. Hamilton Lake 18S ribosomal RNA gene, partial sequence",AY490213.1,3.37E-87,88.929,0
Zotu42,,,,,,,,,,,,
Zotu43,,,,,,,,"Uncultured kinetoplastid clone SM_G1 18S ribosomal RNA gene, partial sequence",JN630331.1,3.21E-72,87.302,0
Zotu44,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone A2_D12 18S ribosomal RNA gene, partial sequence",JN629255.1,1.68E-109,97.89,204529
Zotu45,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,3.85E-121,98.419,100272
Zotu46,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Allobodo    ,Allobodo chlorophagus,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,4.03E-91,91.732,2282701
Zotu47,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma sp. AB-2013 isolate G5 18S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence",KC753534.1,0,100,1345638
Zotu48,,,,,,,,,,,,
Zotu49,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone SM_G1 18S ribosomal RNA gene, partial sequence",JN630331.1,1.11E-106,94.942,204529
Zotu50,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma noyesi,"Trypanosoma sp. AB-2016a isolate TF3382 18S ribosomal RNA gene, complete sequence",KX008320.1,3.43E-152,100,1849175
Zotu51,,,,,,,,,,,,
Zotu52,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,1.7E-104,96.218,312471
Zotu53,,,,,,,,,,,,
Zotu54,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,2.04E-139,98.276,5696
Zotu55,Eukaryota,,,,,,uncultured microeukaryote,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.65E-84,90.157,340210
Zotu56,,,,,,,,,,,,
Zotu57,Eukaryota,Euglenozoa ,Kinetoplastea ,Parabodonida  ,Parabodonidae,Parabodo    ,Parabodo caudatus,"Parabodo caudatus strain HFCC10 18S ribosomal RNA gene, partial sequence",DQ207591.1,1.07E-46,92.254,351713
Zotu58,,,,,,,,,,,,
Zotu59,,,,,,,,,,,,
Zotu60,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Rhynchobodo ,Rhynchobodo sp. Sourhope,"Rhynchobodo sp. Sourhope 18S ribosomal RNA gene, partial sequence",AY490212.1,1.75E-124,99.6,266814
Zotu61,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone A2_D12 18S ribosomal RNA gene, partial sequence",JN629255.1,7.83E-108,97.468,204529
Zotu62,,,,,,,,"Pipistrellus pipistrellus genome assembly, chromosome: 17",LR862373.1,5.25E-43,87.898,0
Zotu63,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi partial 18S rRNA gene, isolate ABA",AJ620566.1,7.25E-149,100,87096
Zotu64,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,4.41E-136,97.586,5696
Zotu65,,,,,,,,,,,,
Zotu66,,,,,,,,,,,,
Zotu67,,,,,,,,"Uncultured kinetoplastid clone PI_50 18S ribosomal RNA gene, partial sequence",JN630199.1,6.93E-74,88.618,0
Zotu68,,,,,,,,,,,,
Zotu69,,,,,,,,,,,,
Zotu70,,,,,,,,,,,,
Zotu71,,,,,,,,,,,,
Zotu72,,,,,,,,,,,,
Zotu73,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB93 18S ribosomal RNA gene, partial sequence",KJ867148.1,9.37E-148,99.656,87096
Zotu74,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis strain DH 18S small subunit ribosomal RNA gene, partial sequence",AF464896.1,6.46E-104,94.8,312471
Zotu75,,,,,,,,Rattus norvegicus CH230-12L9 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC132498.4,1E-61,89.163,0
Zotu76,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone UEBER_6X 18S ribosomal RNA gene, partial sequence",JN630366.1,7.83E-108,97.468,204529
Zotu77,,,,,,,,,,,,
Zotu78,,,,,,,,,,,,
Zotu79,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,2.45E-83,89.844,0
Zotu80,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.1E-106,94.882,266813
Zotu81,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Acomys      ,Acomys russatus,"Acomys russatus genome assembly, chromosome: 25",LR877236.1,8.51E-17,93.846,60746
Zotu82,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,2.04E-139,98.276,5696
Zotu83,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Cricetidae        ,Onychomys   ,Onychomys torridus,"Onychomys torridus genome assembly, chromosome: 18",LR877205.1,0.00000339,95,38674
Zotu84,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,4.46E-76,86.525,0
Zotu85,,,,,,,,,,,,
Zotu86,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus breed New Zealand White clone LB1-56H19, complete sequence",AC124042.3,2.96E-66,93.75,9986
Zotu87,,,,,,,,,,,,
Zotu88,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AQ.22 partial 18S rRNA gene, isolate TL.AQ.22",AJ620574.1,1.03E-157,98.452,260183
Zotu89,,,,,,,,"Mus musculus BAC clone RP23-69L14 from chromosome 7, complete sequence",AC134609.4,2.23E-49,81.923,0
Zotu90,,,,,,,,,,,,
Zotu91,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Allobodo    ,Allobodo chlorophagus,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,1.88E-89,91.339,2282701
Zotu92,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.81E-70,98.101,863246
Zotu93,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,1.14E-81,89.494,0
Zotu94,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.09E-71,99.355,312471
Zotu95,,,,,,,,Canis lupus familiaris breed Labrador retriever chromosome 36a,CP050596.1,4.51E-34,83.429,0
Zotu96,,,,,,,,"Wallaby DNA sequence from clone MEKBa-192E16, complete sequence",CU302407.3,3.68E-26,83.688,0
Zotu97,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L8.1 18S ribosomal RNA gene, partial sequence",AY753976.1,1.81E-94,92.742,100272
Zotu98,,,,,,,,"Mus musculus chromosome 15, clone RP23-136I22, complete sequence",AC129931.19,1.34E-51,86.979,0
Zotu99,,,,,,,,,,,,
Zotu100,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.2E-70,98.71,312471
Zotu101,,,,,,,,,,,,
Zotu102,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB09 18S ribosomal RNA gene, partial sequence",KJ867128.1,1.57E-145,99.313,87096
Zotu103,,,,,,,,,,,,
Zotu104,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi partial 18S rRNA gene, isolate ABA",AJ620566.1,1.57E-145,99.313,87096
Zotu105,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone UEBER_E12 18S ribosomal RNA gene, partial sequence",JN630410.1,4.83E-85,91.915,204529
Zotu106,,,,,,,,,,,,
Zotu107,,,,,,,,Mus musculus 10 BAC RP23-326C6 (Roswell Park Cancer Institute (C57BL/6J Female) Mouse BAC Library) complete sequence,AC153544.4,1.21E-20,84.348,0
Zotu108,,,,,,,,,,,,
Zotu109,,,,,,,,,,,,
Zotu110,,,,,,,,,,,,
Zotu111,,,,,,,,,,,,
Zotu112,,,,,,,,,,,,
Zotu113,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,1.43E-80,89.328,0
Zotu114,Eukaryota,,,,,,uncultured marine eukaryote,"Uncultured marine eukaryote clone S4-Can-6 18S small subunit ribosomal RNA gene, partial sequence",KP173670.1,1.36E-70,96.45,203449
Zotu115,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Allobodo    ,Allobodo chlorophagus,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,8.73E-88,90.945,2282701
Zotu116,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,1.11E-91,91.7,204529
Zotu117,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. voucher LNP36 small subunit ribosomal RNA gene, partial sequence",MT898518.1,4.31E-141,98.951,5696
Zotu118,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490234.1,2.28E-123,99.203,75058
Zotu119,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,8.67E-93,91.765,100272
Zotu120,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_119D04, complete sequence",KJ810981.1,5.75E-23,95.89,9986
Zotu121,,,,,,,,,,,,
Zotu122,,,,,,,,,,,,
Zotu123,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone UEBER_6X 18S ribosomal RNA gene, partial sequence",JN630366.1,1.71E-99,95.359,204529
Zotu124,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,3.18E-87,90.421,75058
Zotu125,,,,,,,,,,,,
Zotu126,,,,,,,,,,,,
Zotu127,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,2.42E-98,92.969,100272
Zotu128,,,,,,,,,,,,
Zotu129,,,,,,,,,,,,
Zotu130,,,,,,,,,,,,
Zotu131,,,,,,,,,,,,
Zotu132,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,6.01E-114,98.734,312471
Zotu133,,,,,,,,,,,,
Zotu134,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,1.09E-111,96.094,312471
Zotu135,,,,,,,,,,,,
Zotu136,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.78E-117,99.578,312471
Zotu137,,,,,,,,,,,,
Zotu138,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.48E-43,96.46,863246
Zotu139,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,4.04E-81,89.453,0
Zotu140,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB93 18S ribosomal RNA gene, partial sequence",KJ867148.1,2.03E-144,98.969,87096
Zotu141,,,,,,,,"Sarcophilus harrisii genome assembly, chromosome: X",LR735560.1,3.44E-32,84.967,0
Zotu142,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus microsatellite DNA, locus OCU-INRACCDDV0083, clone LBAB-754H11",AJ874426.1,3.52E-60,91.573,9986
Zotu143,,,,,,,,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,8.92E-73,87.402,0
Zotu144,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.29E-115,99.156,312471
Zotu145,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.09E-71,99.355,312471
Zotu146,,,,,,,,"Mus musculus BAC clone RP23-299P17 from chromosome 14, complete sequence",AC154322.1,2.55E-47,84.653,0
Zotu147,,,,,,,,"Mus musculus chromosome 10, clone RP23-107I8, complete sequence",AC022699.11,1.51E-28,83.333,0
Zotu148,,,,,,,,,,,,
Zotu149,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,2.78E-83,87.241,0
Zotu150,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB93 18S ribosomal RNA gene, partial sequence",KJ867148.1,4.36E-146,99.313,87096
Zotu151,,,,,,,,,,,,
Zotu152,,,,,,,,,,,,
Zotu153,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Lepus       ,Lepus townsendii,"Lepus townsendii collagen alpha-1(XII) chain precursor (COL12A1) gene, partial cds",MK078475.1,6.98E-29,92.857,63225
Zotu154,,,,,,,,,,,,
Zotu155,,,,,,,,,,,,
Zotu156,,,,,,,,,,,,
Zotu157,,,,,,,,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,9E-83,89.272,0
Zotu158,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0805D11, complete sequence",AC234899.3,0.00000028,97.436,9986
Zotu159,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus eosinophil peroxidase (Epx), mRNA",NM_001107037.1,8.62E-92,98.485,10116
Zotu160,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.59E-53,93.793,10090
Zotu161,,,,,,,,,,,,
Zotu162,,,,,,,,,,,,
Zotu163,,,,,,,,,,,,
Zotu164,Eukaryota,,Choanoflagellata,Craspedida     ,Salpingoecidae    ,Codosiga    ,Codosiga hollandica,"Codosiga sp. MC-2015a 18S small subunit ribosomal RNA gene, partial sequence",KT757430.1,2.43E-66,97.403,1742608
Zotu165,,,,,,,,,,,,
Zotu166,,,,,,,,,,,,
Zotu167,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,5.97E-119,100,312471
Zotu168,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus breed New Zealand White clone LB1-44O5, complete sequence",AC124041.3,2.28E-67,92.105,9986
Zotu169,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB09 18S ribosomal RNA gene, partial sequence",KJ867128.1,7.3E-144,98.969,87096
Zotu170,,,,,,,,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Arsg:tm1e(KOMP)Wtsi; transgenic",JN961961.1,2.08E-31,87.597,0
Zotu171,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,Oryctolagus cuniculus gene encoding ileal sodium-dependent bile acid transporter,AJ002005.1,7.24E-89,91.165,9986
Zotu172,,,,,,,,,,,,
